Nummer;Text_vorher;NOM;Text_danach;Dateiname;Textsorte;Periode;Sprachraum;Jahr;Jahrzehnt;Periode_dreissig;Erstglied;Lemma;Nicht-native_Basis;Hapax_Legomenon;Simplexbasis;Majuskel;Adj;mit_ADJ;Prep_NOM;Genitiv;NOM_V;Prep;Det;Numerus;Anmerkung;Praefix
4497;auff vorgehend/ innerhalb eines viertel Jahrs/ oder zum wenigsten gebuehrend ;Abkuenden; beyderseits/ Inhalt der darueber auffgerichten Be;LEGA_P1_WMD_1694_RathsSatzungRAW.txt;LEGA;P1;WMD;1694;1695;1680-1710;NA;Abkünden;NEIN;JA;NEIN;JA;gebührend;JA;NEIN;KEIN;NEIN;NA;KEIN;SG;NA;ab
49749; Gaben unsere ELISABETH bilden koente. Auf erstes ;Anblicken; wurde jedermann durch Ihr praechtiges Wesen entzu;SERM_P3_OOD_1751_ElisabethaRAW.txt;SERM;P3;OOD;1751;1755;1740-1770;NA;Anblicken;NEIN;JA;NEIN;JA;Zahlwort;JA;JA;KEIN;NEIN;auf;KEIN;SG;NA;an
4621;quentiam etwa andern auch mercklich gelegen/ auff ;Anbringen; deren/ so sie betreffen moegen/ berahtschlagt/ na;LEGA_P1_WMD_1694_RathsSatzungRAW.txt;LEGA;P1;WMD;1694;1695;1680-1710;NA;Anbringen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
46663;s seiner Liebwerthisten Mutter auf ihr bittliches ;Anbringen; erfolgen lassen: Mulier quid mihi, & tibi? Aus we;SERM_P2_WOD_1730_SeelenLiechtRAW.txt;SERM;P2;WOD;1730;1735;1710-1740;NA;Anbringen;NEIN;NEIN;NEIN;JA;bittlich;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
46688;b sich die Goettliche Mutter durch ihr bittliches ;Anbringen; einiger massen straefflich gemacht? Ob die Wort C;SERM_P2_WOD_1730_SeelenLiechtRAW.txt;SERM;P2;WOD;1730;1735;1710-1740;NA;Anbringen;NEIN;NEIN;NEIN;JA;bittlich;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
8894;s theils im Koenigreich Neapel halten/ theils auf ;Andringen; der Alliirten nach Catalonien schicken muesten/ n;LEGA_P2_OMD_1710_ReichsArchivRAW.txt;LEGA;P2;OMD;1710;1715;1710-1740;NA;Andringen;NEIN;JA;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
10341;u was Vorhaben weiß man aber nicht. Auff starckes ;Anhalten; deß  Frantzösis. Ambassadeur ist von hiesigem Hof;mercurii_muenchen_1702_1_fin.txt;NEWS;P2;OOD;1702;1705;1680-1710;NA;Anhalten;NEIN;NEIN;NEIN;JA;stark;JA;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
9340;en zu Regensburg auf Dero Ministrorum inständiges ;Anhalten; theils immer den Mangel der Jnstructionen angefüh;woechentliche_relation_halle_1724_fin.txt;NEWS;P2;OMD;1724;1725;1710-1740;NA;Anhalten;NEIN;NEIN;NEIN;JA;inständig;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
3659;s der Universitaet Altdorff/ auf Ihr gebuehrendes ;Anmelden;/ von diesem Collegio nicht auszuschliessen/ ausse;LEGA_P1_OOD_1700_GesetzNuernbergRAW.txt;LEGA;P1;OOD;1700;1705;1680-1710;NA;Anmaßen;NEIN;NEIN;NEIN;JA;gebührend;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
32651; bedienet sich schon seit einigen Jahren auf mein ;Anrathen; in den Anfaellen der Gicht gewisser stark abfuehr;SCIE_P3_OMD_1781_AkademieRAW.txt;SCIE;P3;OMD;1781;1785;1770-1800;NA;Anraten;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
32760;n Erfolge bedienet. Noch jetzt gebraucht auf mein ;Anrathen; dieses Decoct ein gewisser vornehmer Herr A. A. L;SCIE_P3_OMD_1781_AkademieRAW.txt;SCIE;P3;OMD;1781;1785;1770-1800;NA;Anraten;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;KEIN;SG;NA;an
1057;rsamb seyn wuerde/ soll alsdan auff des Beklagten ;Anruffen; in der Haubtsachen verfahren/ und darauff was rec;LEGA_P1_NoD_1695_DuesseldorffRAW.txt;LEGA;P1;NoD;1695;1695;1680-1710;NA;Anrufen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
1171;ber in der Haubtsachen fortfahren/ soll auff sein ;Anruffen;/ nach der erstfolgender Audientz, der Krieg Recht;LEGA_P1_NoD_1695_DuesseldorffRAW.txt;LEGA;P1;NoD;1695;1695;1680-1710;NA;Anrufen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
