Nr;Text_vorher;UNG.NOM;Text_danach;Dateiname;Textsorte;Periode;Sprachraum;Jahr;Jahrzehnt;Titelstichwort;Erstglied;Lemma;Adj;mit_adj_Mod;Det;als_praep_Kompl;Praeposition;Material_zwischen_Prep_und_Nom;NOM_V;FVG;Genitiv;Zweitglied;Numerus;Simplexbasis;Fremdwortbasis;ig;Hapax_Legomenon;Anmerkungen;Majuskel;ierung;Kompositum;Praefix;Anzahl_Praefixe;Praefix_Kombi;Basisverb;Basisverb_alternativ;PREP_DET_NOM;Syntagma
1;erdet ihr mir geben/ wenn ich euch eine froeliche ;Zeitung; bringe? Leches. Was vor eine froeliche Zeitung ha;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Zeitung;frˆhlich;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;NA;NA;NEIN;NEIN
2;he Zeitung bringe? Leches. Was vor eine froeliche ;Zeitung; habet ihr dann? Charite. Ich habe bey unserer Gro;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Zeitung;frˆhlich;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;NA;NA;NEIN;NEIN
3;est die elende Leonilda immer zwischen Furcht und ;Hofnung; stecken. Alleman Wie treffe ich E. Mayst. so schw;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
4;"rer/ und weiter nichts; Mit der Gro√ükoeniglichen ";Regierung; und mit KriegesSachen haben sie nichts zuschaffen;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Regierung;groﬂkˆniglich;JA;b;NEIN;mit;NA;NA;NA;KEIN;NA;SG;NA;JA;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;regieren;NA;NEIN;NEIN
5;en erzogen ist. Leonild. So mueste ich nach eurer ;Meinung; nothwendig den Boehmischen Koenig zur Ehe nehmen.;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Meinung;NA;NEIN;s;JA;nach;MOD;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;meinen;NA;NEIN;NEIN
6;kennen mu√ü. Aber wolte der Himmel/ da√ü auch bey ;Offenbahrung; meines rechten Nahmens/ Standes und Herkommens ic;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Offenbarung;NA;NEIN;KEIN;JA;bei;KEIN;NA;NA;postnom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;offenbaren;NA;NEIN;NEIN
7;haffter Ritter/ aus ewrem Wesen und aeusserlichen ;Bezeigungen; schliesset ein jeder an unsern Gro√ükoenigl. Hofe;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;Bezeigung;‰uﬂerlich;JA;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;bezeigen;NA;NEIN;NEIN
8;nn denselben zuvor theuer bezahlen. Ich wil meine ;Ruestung; anlegen/ und mich eiligst zu Schiffe begeben. Cha;DRAM_P1_NoD_1673_LeonildaRAW.txt;DRAM;P1;NoD;1673;1675;LeonildaRAW.txt;NA;R¸stung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;ruesten;NA;NEIN;NEIN
9;                                       Ôªø  Erste ;Handlung;. Fuenfter Auftritt. Der Schau-Platz ist ein bewoh;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
10;en diensten wagen. Arist. Ach! doerfft' ich diese ;hoffnung; tragen/ so waer ich fuer mein Leben dir verpflich;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
11; (Aus dem gewuelke fremder klagen/ strahlt meiner ;hoffnung; Sonnenblick.) bey seit. Thya und Ar. Grausame Ste;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
12;zu enden die qualen verzweiffelter Wut. Aut. (Die ;hoffnung; erwachet und troestet den Mut.) Arist. Merane/ du;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
13;u mich vom Tode retten wilst/ so treib des Orfeus ;Ehlichung; zuruecke/ such die Eurydice/ bey der du viel verm;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Ehelichung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;JA;NA;JA;NO;NA;NA;NA;NA;ehelichen;NA;NEIN;NEIN
14;ch einer? Aut. Die auf dein Versprechen in fester ;hoffnung; baut. Arist. Wo? Aut. Du wirst dich wol zu erinne;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;fest;JA;KEIN;JA;in;KEIN;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
17;esandschafft an/ √£die mich fuer ihn holt ab. Mit ;ruestung; zu der Reise √£gehn viele Tage weg/ doch endlich ;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;R¸stung;NA;NEIN;KEIN;JA;mit;KEIN;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;ruesten;NA;NEIN;NEIN
18;lich wird stehn in Orfeus haenden/ verspricht die ;hoffnung; mir/ da√ü Aristaeus sich/ vergessend ihrer Zier/ ;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
19;Gedanken/ wie im Meer die Wasserwogen. Furcht und ;hoffnung;/ durch eur Zanken werd' ich wechselweis gezogen. ;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
20;wechselweis gezogen. Bey mir etc. Ende der ersten ;Handlung;. Zweyte Handlung. Erster Auftritt. Der Schau-Plat;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
21;en. Bey mir etc. Ende der ersten Handlung. Zweyte ;Handlung;. Erster Auftritt. Der Schau-Platz stellet vor ein;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
